date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2019-08-10,7,2,3,19,0,Norway
2019-08-10,11,0,0,7,1,Canada
2019-08-10,6,0,0,4,0,United States
2019-08-11,6,0,0,4,1,United States
2019-08-11,7,5,0,34,1,Germany
2019-08-11,16,3,3,8,8,Norway
2019-08-11,11,2,0,12,2,United Kingdom
2019-08-11,11,1,0,8,0,Canada
2019-08-12,7,3,0,21,6,Norway
2019-08-12,5,4,0,37,2,Germany
2019-08-12,9,2,0,16,3,United Kingdom
2019-08-12,11,1,0,7,1,Canada
2019-08-12,6,0,0,4,0,United States
2019-08-13,6,3,0,42,2,Germany
2019-08-13,10,1,0,27,4,Norway
2019-08-13,9,1,0,14,2,United Kingdom
2019-08-13,11,1,0,7,0,Canada
2019-08-13,5,0,0,4,0,United States
2019-08-14,15,6,0,26,4,Norway
2019-08-14,8,1,0,16,2,United Kingdom
2019-08-14,5,0,0,5,0,United States
2019-08-14,10,1,0,8,1,Canada
2019-08-14,4,3,1,45,2,Germany
2019-08-15,6,3,0,45,2,Germany
2019-08-15,8,1,1,29,2,Norway
2019-08-15,10,1,0,9,1,Canada
2019-08-15,5,0,0,5,0,United States
2019-08-15,9,1,0,16,3,United Kingdom
2019-08-16,5,0,0,4,0,United States
2019-08-16,10,1,0,6,1,Canada
2019-08-16,10,1,0,14,2,United Kingdom
2019-08-16,8,4,0,17,0,Norway
2019-08-16,8,3,0,43,2,Germany
2019-08-17,8,2,3,8,0,Norway
2019-08-17,5,0,0,4,1,United States
2019-08-17,9,1,0,11,2,United Kingdom
2019-08-17,6,4,0,34,3,Germany
2019-08-17,9,1,0,5,1,Canada
2019-08-18,9,1,0,11,3,United Kingdom
2019-08-18,4,0,0,3,1,United States
2019-08-18,5,3,0,32,3,Germany
2019-08-18,10,1,0,5,1,Canada
2019-08-18,10,3,3,22,5,Norway
2019-08-19,8,0,0,6,1,Canada
2019-08-19,11,1,0,20,1,Norway
2019-08-19,8,1,0,13,3,United Kingdom
2019-08-19,4,0,0,4,1,United States
2019-08-19,4,5,1,37,2,Germany
2019-08-20,12,1,0,20,1,Norway
2019-08-20,8,1,0,12,2,United Kingdom
2019-08-20,5,0,0,4,1,United States
2019-08-20,9,0,0,5,1,Canada
2019-08-20,5,4,0,40,3,Germany
2019-08-21,9,4,0,40,2,Germany
2019-08-21,6,0,0,4,0,United States
2019-08-21,10,1,0,6,1,Canada
2019-08-21,43,7,1,17,4,Norway
2019-08-21,12,1,0,14,1,United Kingdom
2019-08-22,8,3,0,41,2,Germany
2019-08-22,22,4,1,19,1,Norway
2019-08-22,6,0,0,4,1,United States
2019-08-22,10,1,0,7,1,Canada
2019-08-22,11,1,0,13,2,United Kingdom
2019-08-23,5,4,0,39,2,Germany
2019-08-23,12,1,0,6,1,Canada
2019-08-23,21,10,3,17,5,Norway
2019-08-23,6,0,0,4,0,United States
2019-08-23,11,1,0,12,2,United Kingdom
2019-08-24,10,1,0,11,2,United Kingdom
2019-08-24,20,3,0,13,2,Norway
2019-08-24,5,0,0,4,0,United States
2019-08-24,10,4,1,34,2,Germany
2019-08-24,11,1,0,5,0,Canada
2019-08-25,5,0,0,4,1,United States
2019-08-25,7,3,0,38,2,Germany
2019-08-25,11,1,0,5,1,Canada
